,cycle_id,ekor,total_seed,total_seed_type,sr%
484,16091,4,165.0,0,0.0024242424242424242
485,16091,12,165.0,0,0.007272727272727273
486,16091,4,165.0,0,0.0024242424242424242
487,24774,2,224.208,1,0.0008920288303717977
488,24774,5,224.208,1,0.002230072075929494
489,24774,13,224.208,1,0.005798187397416684
490,24774,4,224.208,1,0.0017840576607435954
491,24774,9,224.208,1,0.004014129736673089
492,15786,3,200.0,0,0.0015
493,26818,0,36.0,0,0.0
494,26818,3,36.0,0,0.008333333333333333
495,16575,3,110.0,0,0.0027272727272727275
496,16575,2,110.0,0,0.0018181818181818182
497,16575,5,110.0,0,0.004545454545454545
498,16575,5,110.0,0,0.004545454545454545
499,16575,28,110.0,0,0.025454545454545455
500,26061,3,109.136,0,0.002748863802961443
501,26061,2,109.136,0,0.0018325758686409616
502,26061,5,109.136,0,0.004581439671602404
503,26061,44,109.136,0,0.04031666911010116
504,26061,17,109.136,0,0.015576894883448175
505,26061,3,109.136,0,0.002748863802961443
506,26061,2,109.136,0,0.0018325758686409616
507,26061,5,109.136,0,0.004581439671602404
508,26061,44,109.136,0,0.04031666911010116
509,26061,17,109.136,0,0.015576894883448175
510,29874,9,125.0,0,0.0072
511,20991,5,258.09,0,0.0019373086907667867
512,20991,3,258.09,0,0.001162385214460072
513,20991,5,258.09,0,0.0019373086907667867
514,20991,9,258.09,0,0.0034871556433802163
515,20991,3,258.09,0,0.001162385214460072
516,20991,0,258.09,0,0.0
517,18803,0,50.0,gross,0.0
518,18803,0,50.0,gross,0.0
519,18803,0,50.0,gross,0.0
520,18803,0,50.0,gross,0.0
521,18803,0,50.0,gross,0.0
522,18803,0,50.0,gross,0.0
523,18803,0,50.0,gross,0.0
524,24571,13,143.372,0,0.009067321373768936
525,20620,0,240.0,0,0.0
526,18134,2,116.312,1,0.001719513033908797
527,18134,0,116.312,1,0.0
528,27557,0,100.0,0,0.0
529,27557,1,100.0,0,0.001
530,27557,1,100.0,0,0.001
531,27557,2,100.0,0,0.002
532,27557,3,100.0,0,0.003
533,27557,21,100.0,0,0.021
534,27557,0,100.0,0,0.0
535,23733,22,324.412,1,0.006781500067815
536,23733,1,324.412,1,0.00030825000308250006
537,16384,2,50.0,0,0.004
538,19067,3,281.6,1,0.0010653409090909092
539,19067,0,281.6,1,0.0
540,19067,7,281.6,1,0.0024857954545454545
541,19067,0,281.6,1,0.0
542,19067,13,281.6,1,0.004616477272727273
543,19067,0,281.6,1,0.0
544,21831,2,75.0,gross,0.0026666666666666666
545,21831,5,75.0,gross,0.006666666666666667
546,21831,0,75.0,gross,0.0
547,21831,14,75.0,gross,0.018666666666666665
548,21831,11,75.0,gross,0.014666666666666666
549,28477,1,180.0,1,0.0005555555555555556
550,28477,0,180.0,1,0.0
551,28477,0,180.0,1,0.0
552,28477,0,180.0,1,0.0
553,18542,0,27.6,gross,0.0
554,16083,0,50.0,0,0.0
555,26060,4,140.532,0,0.0028463268152449264
556,26060,4,140.532,0,0.0028463268152449264
557,26060,8,140.532,0,0.005692653630489853
