,cycle_id,sampled_at,weight,sum_sample_g,sum_sample_kg,abw,abw_round
4083,26221.0,2023-12-26,253.3,15.791551519936833,1.5791551519936835e-05,4.2,4.0
4084,25360.0,2023-11-11,392.1,5.10073960724305,5.10073960724305e-06,1.95,2.0
4085,25360.0,2023-11-16,392.1,7.651109410864574,7.651109410864575e-06,3.2,3.0
4086,25360.0,2023-12-01,392.1,10.2014792144861,1.02014792144861e-05,4.18,4.0
4087,25360.0,2023-12-04,392.1,12.751849018107626,1.2751849018107626e-05,4.87,5.0
4088,25360.0,2023-12-07,392.1,12.751849018107626,1.2751849018107626e-05,5.33,5.0
4089,25360.0,2023-12-14,392.1,15.302218821729149,1.530221882172915e-05,6.5,6.0
4090,25360.0,2023-12-21,392.1,17.852588625350673,1.7852588625350676e-05,7.45,7.0
4091,25360.0,2024-01-16,392.1,33.154807447079826,3.315480744707982e-05,13.0,13.0
4092,25360.0,2023-11-11,553.04,3.616374945754376,3.6163749457543763e-06,1.95,2.0
4093,25360.0,2023-11-16,553.04,5.424562418631564,5.424562418631564e-06,3.2,3.0
4094,25360.0,2023-12-01,553.04,7.232749891508752,7.232749891508753e-06,4.18,4.0
4095,25360.0,2023-12-04,553.04,9.04093736438594,9.04093736438594e-06,4.87,5.0
4096,25360.0,2023-12-07,553.04,9.04093736438594,9.04093736438594e-06,5.33,5.0
4097,25360.0,2023-12-14,553.04,10.849124837263128,1.0849124837263128e-05,6.5,6.0
4098,25360.0,2023-12-21,553.04,12.657312310140316,1.2657312310140317e-05,7.45,7.0
4099,25360.0,2024-01-16,553.04,23.506437147403446,2.3506437147403442e-05,13.0,13.0
4100,25360.0,2023-11-11,17.22,116.14401858304298,0.00011614401858304299,1.95,2.0
4101,25360.0,2023-11-16,17.22,174.21602787456447,0.0001742160278745645,3.2,3.0
4102,25360.0,2023-12-01,17.22,232.28803716608596,0.00023228803716608597,4.18,4.0
4103,25360.0,2023-12-04,17.22,290.36004645760744,0.00029036004645760743,4.87,5.0
4104,25360.0,2023-12-07,17.22,290.36004645760744,0.00029036004645760743,5.33,5.0
4105,25360.0,2023-12-14,17.22,348.43205574912895,0.000348432055749129,6.5,6.0
4106,25360.0,2023-12-21,17.22,406.50406504065046,0.00040650406504065046,7.45,7.0
4107,25360.0,2024-01-16,17.22,754.9361207897794,0.0007549361207897793,13.0,13.0
